city,highway,highway_flag,global_index,lat,lon,pano_id,yaw
manhattan,"['motorway', 'motorway']",1,34581,40.781149,-73.987263,PreXwwylmG23hnheZ__zGw,35
manhattan,['motorway'],1,6571,40.781212,-73.987202,KvVpitc2A3TGm62WMnWezA,35
manhattan,['motorway'],1,16733,40.781087,-73.987323,z2NHNmEClTbKyRHYDy3SrA,35
manhattan,['motorway'],1,55382,40.781275,-73.987141,qsl5om--I0kZi23Usl3loA,36
manhattan,['motorway'],1,50190,40.781025,-73.987384,zy6cLa1Vj1mQMaoKQUpDQQ,35
manhattan,[],1,42882,40.781338,-73.987079,MKtN-miE7D8Sn7XSV6FZDg,36
manhattan,['motorway'],1,23800,40.780962,-73.987444,XETBvcvgMGXy98zM0aUxIA,35
manhattan,[],1,54847,40.781401,-73.987017,eEvh4QrtVyvQjJI6BT7NlA,36
manhattan,['motorway'],1,15444,40.7809,-73.987505,XSqq-fNLRumeAB_mWOcoqg,35
manhattan,[],1,36805,40.781464,-73.986956,C5cKCYx-sJC60-vkOxIGUA,36
manhattan,['motorway'],1,38782,40.780839,-73.987564,ttmEjmYpMpUuU5rKxKBDtQ,35
manhattan,[],1,55368,40.781527,-73.986894,qVQOKyetuYkPjcMrPgVRSA,35
manhattan,['motorway'],1,3879,40.780777,-73.987623,PHLnPXkKg6lMTsoNDiqCVw,35
manhattan,['footway'],0,34861,40.78159,-73.986834,W5qHz8RB540bCB0mZoIL0Q,34
manhattan,['motorway'],1,25487,40.780716,-73.987681,8915v3hjpC7kz_c5qugSzw,34
manhattan,"['motorway_link', 'footway', 'motorway']",1,8178,40.781497,-73.9868,usR8sESazS4f1rKiJIXxPw,29
manhattan,[],1,11648,40.781722,-73.98672,8QIeofp-Ql-EfvJtY_YI2A,30
manhattan,['motorway'],1,49552,40.780654,-73.987739,lRAycEeukH-IupvtSja-GA,34
manhattan,"['motorway', 'motorway_link']",0,37302,40.78144,-73.986839,NFGgkW5pl6SNlkuSvReP2w,28
manhattan,[],0,28780,40.78179,-73.986667,L94_6lzcrN34WTYaK0RZrQ,30
manhattan,['motorway'],1,19954,40.780593,-73.987795,6wZdZyWckoedGblEQ6rKcw,33
manhattan,['motorway_link'],0,28570,40.781368,-73.986888,FQF4emWeFI5rzGgh620bGg,27
manhattan,[],0,41781,40.781859,-73.986614,y8vTcIjWbs1ioXWaBxlNrw,29
manhattan,['motorway'],1,54361,40.780532,-73.98785,UiS37gOWKtwddzvRxh5yIw,33
manhattan,['motorway_link'],0,27787,40.781295,-73.986939,ydVSl66WE8d0ejFrtdd2pg,28
manhattan,[],0,38186,40.781928,-73.986562,gZo8zWTCrSZEPrYCETZZ6w,28
manhattan,['motorway'],1,25120,40.780471,-73.987904,0BxQg7RoyZd-RS85ayO10w,32
manhattan,['motorway_link'],0,9999,40.781209,-73.987003,ZpRr1Vh21OjK_1wQNfYF0A,31
manhattan,[],0,41511,40.781998,-73.986511,rw_ldzCS8Ss-B2uPQbdHww,28
manhattan,['motorway'],1,44906,40.78041,-73.987957,5itoawYR0V4MeaAOINQ6eQ,32
manhattan,['motorway_link'],0,33039,40.781142,-73.987056,ruymbvoKYmWAUqQki9eJ4w,28
manhattan,[],0,17006,40.782068,-73.98646,3o_RhRV5QIlznHXWasGMUQ,28
manhattan,['motorway'],1,13483,40.780285,-73.988061,p423zXT2JFC555yhL2QEQg,31
manhattan,['motorway_link'],0,19006,40.781043,-73.987108,lVE0Z6W76wNp0OD0QFI8aQ,7
manhattan,[],0,9208,40.782139,-73.986409,GxH75XfloMnhhV7eGkaf5w,28
manhattan,['motorway'],1,19005,40.78022,-73.988112,lRvanwUumC6FM4Ra8FsuHQ,30
manhattan,['motorway_link'],0,12951,40.780947,-73.987109,cv2dLvpkTHA0SUX21pQLbA,351
manhattan,[],0,52399,40.782209,-73.986357,n4CDizIQ7fyz4dvynwSCpw,28
manhattan,['motorway'],1,8600,40.780156,-73.988162,2gGIg84kfQ5V-vodtH_4iw,29
manhattan,['motorway_link'],0,26649,40.780822,-73.987054,Yr4qq4QmJjsLwQyt2C101w,322
manhattan,[],0,26345,40.782281,-73.986305,SI9uvW_WNncCFvO0_-KRvA,28
manhattan,['motorway'],1,7570,40.780091,-73.988212,htBGGHMwp6Cr_ICzZ8qmew,29
manhattan,['residential'],0,9009,40.780699,-73.987078,BuIFprRmYk1VlF5TQ9Ybfg,52
manhattan,[],0,36945,40.782352,-73.986253,FJ-er-RP8glj47MVdEQPQw,28
manhattan,['motorway'],1,25140,40.780026,-73.98826,0SJs4Gdw6B1UYxEiEMlQWg,29
manhattan,['residential'],0,54337,40.780649,-73.987184,UGk48tUEr9a1Me7IwykoCA,54
manhattan,['motorway_link'],0,55321,40.780784,-73.986998,p_GV3vlvIq0-3q4Oo4JuKg,289
manhattan,[],0,5784,40.782424,-73.9862,3bdkWovXCIshdksPSkwOOQ,28
manhattan,['motorway'],1,4265,40.779962,-73.988308,XGR323d0QgXHsSSZjZsSMw,28
manhattan,['residential'],0,31069,40.780566,-73.987302,ABHS6kjVAynJVV4BW9D3bQ,38
manhattan,[],0,20833,40.780777,-73.98686,RWr8A-Pl0dOYyqjDRGgZvA,272
manhattan,['motorway'],1,46467,40.782496,-73.986147,do_pFJvwPIq33XskXkflVA,28
manhattan,['motorway'],1,14735,40.779899,-73.988355,GJx2afiJwMfG0_pWhrRAPA,28
manhattan,['residential'],0,3969,40.780495,-73.987368,RGETi7m52L-tSJ91wXAR1w,29
manhattan,[],0,372,40.780768,-73.986726,7FLY-uqczBN6rjNGSaOSlA,284
manhattan,['motorway'],1,38780,40.782568,-73.986094,tpjvyyBkIx1aEyKHrKK6Ew,28
manhattan,['motorway'],1,53001,40.779835,-73.988402,0yweVgw00IJPaF_qtvmWBw,28
manhattan,['residential'],0,32176,40.780413,-73.987424,ZrWfPghT6HkaKmk2wlE9xQ,27
manhattan,[],0,51029,40.780743,-73.986621,IsVr30xQCP2cUEuEcZeyEw,295
manhattan,['motorway'],1,41677,40.782639,-73.986041,vnOFPPbjpVs64fjHvzZXfg,28
manhattan,"['footway', 'motorway']",1,9651,40.779772,-73.988448,RJyWBPGwsPSiRCcAdKTbBw,28
manhattan,['residential'],0,42141,40.780325,-73.987484,5Ncwc26GRNeImk30RnsD7A,26
manhattan,[],0,53447,40.780709,-73.986526,BDwBb11nu_p966B-Vx8y0g,298
manhattan,['motorway'],1,22601,40.782711,-73.985988,4RXjRY9kf-gIz7vQaBnqWg,28
manhattan,"['footway', 'motorway']",1,30105,40.779709,-73.988495,p1yvKLPR9V6pu2qZQ07RWQ,28
manhattan,"['residential', 'residential']",0,4841,40.780233,-73.987544,ifwU9_wgdWsmOzeHN9MC9Q,27
manhattan,[],0,11561,40.780691,-73.986482,6icSUh5z5Wr1SyziRVUlpg,298
manhattan,['motorway'],1,9775,40.782783,-73.985936,U64MKlKfMTBqvJOUEywx5g,28
manhattan,"['footway', 'motorway']",1,45139,40.779646,-73.988541,BW7IF7dJBAB3iBgrDV-pQg,28
manhattan,"['residential', 'residential']",0,15705,40.780189,-73.987575,bnPkJq-kkqyb9RQLR1MHBw,28
manhattan,[],0,46893,40.780637,-73.986349,nlrsTjf85lLPBU9IGdolTA,300
manhattan,['motorway'],1,38244,40.782855,-73.985884,ht2ZCr-OeqamEsrRvrWQaQ,28
manhattan,['motorway'],1,12716,40.779582,-73.988588,Y5QhBEhfKAyb43tfA62I6w,28
manhattan,"['residential', 'residential']",0,34354,40.78017,-73.987509,KMg6ZImesyzOezDwDDOpGA,88
manhattan,['residential'],0,39384,40.780145,-73.987607,5USIxaDy7572Bg1gmBUkmg,29
manhattan,[],0,10248,40.780591,-73.986242,eXObSMx686cRmO1ZtxcNAw,302
manhattan,['motorway'],1,31144,40.782927,-73.985831,CKK9BsU45V-6EF_Yb-Br2A,28
manhattan,['motorway'],1,3242,40.779518,-73.988634,A5dOy1jSU9USUWCJ7O6iWw,28
manhattan,['residential'],0,37960,40.780129,-73.987384,bC6xOIOhnAIfJk0oELKzUg,118
manhattan,['residential'],0,30962,40.78006,-73.987676,7wdbSLkv2UgaDGSPIVhIQQ,34
manhattan,[],0,33653,40.780536,-73.986125,4gDcdPWs1MeIO1k6U19r7Q,304
manhattan,['motorway'],1,45967,40.783,-73.985779,U80EwIfnNC-1Z38uZI-jbg,28
manhattan,['motorway'],1,14094,40.779453,-73.988682,1fRQQkxbfFxHZswZ6lPyUw,28
manhattan,['residential'],0,46835,40.780081,-73.987277,mjIhNYaEEFKbpkJOY0Y2qw,118
manhattan,['residential'],0,14556,40.779982,-73.98775,BO1578pxdY1d_9ICnbKNUA,36
manhattan,['secondary'],0,36587,40.780475,-73.986005,7-cFWVwZcK6UXoTB8J4oUA,305
manhattan,['motorway'],1,3106,40.783072,-73.985727,6slPzEoGewQZw1t75E_MjQ,28
manhattan,['motorway'],1,42870,40.779389,-73.988729,M6L4zTd-s7i3vfZRPzJBIQ,28
manhattan,['residential'],0,27572,40.780041,-73.987183,tiV0RGnxvq0n0hreqwn0QQ,121
manhattan,['residential'],0,38949,40.779902,-73.987821,xTPjsOyjDYujK4ZKdz3-4w,28
manhattan,['secondary'],0,33967,40.780415,-73.985882,BcUAyME-13fWMd6weaAt6A,302
manhattan,['motorway'],1,5375,40.783145,-73.985675,umLQ4mkucz1r7Jk8g6X6Cg,28
manhattan,['motorway'],1,50476,40.779323,-73.988777,5gBA5AUNivtapIiy8ZzxgA,28
manhattan,"['residential', 'pedestrian']",0,17950,40.779963,-73.987044,PUMpEVQWM-ttZOwkqSvnSQ,102
manhattan,['residential'],0,19385,40.779809,-73.987878,uZB22nTZS3DfgmT9s9oYZg,21
manhattan,"['secondary', 'footway']",0,37130,40.780363,-73.985763,JCO1RyqSmF-Eboqwuli_Hg,300
manhattan,['motorway'],1,29327,40.783217,-73.985623,YIGT168Txbl_UmnCc2MT1A,28
manhattan,['motorway'],1,52553,40.779258,-73.988825,ql7-oWRr0RtkPDGwU-0pOQ,28
manhattan,[],1,28454,40.779942,-73.987035,D0SVbObhauO-q10gnoclcw,115
manhattan,['residential'],0,21235,40.7797,-73.987924,_jgrmsb52IpO_aEQmCF8rA,16
manhattan,"['secondary', 'secondary', 'secondary']",0,12071,40.780312,-73.985649,IZrN0wCmSy4XKai5Kz2Ryg,158
