pano_id,yaw,lat,lon,city,global_index,local_index
dFbip4uo7CNu86y52Axc5g,224,40.734852,-73.990707,manhattan,10190,1
_dlEF8O77LTsFm2G9m7EiA,217,40.734815,-73.990746,manhattan,46266,2
thHNT6bNnDbhk-v_XGQFxA,230,40.734885,-73.990663,manhattan,52687,3
bD6KuUjg14nNhuRUa3v9kw,122,40.7348,-73.99074,manhattan,24025,4
cy2OJnJJFLgScEARzdvLcA,212,40.734776,-73.99078,manhattan,32359,5
O7F1cgzFe0XlOk_oogCV7g,122,40.734837,-73.990813,manhattan,48515,6
yP-w0bVlzAiQWa1Xt6zdjw,234,40.734914,-73.990617,manhattan,50118,7
voRwxfZTi9_9KxZswVR9sA,120,40.734772,-73.990681,manhattan,19420,8
Wcrr1r-IAljTX0OGsucqIQ,200,40.734689,-73.990831,manhattan,15400,9
et41kVVkQSmrjB83mZhxGw,118,40.734869,-73.990884,manhattan,13022,10
Vvy-e1K2zH8NCBdCZorLAQ,237,40.734989,-73.990477,manhattan,51605,11
ciNlGrGVUFwIEbK6FPgOLg,119,40.734724,-73.990575,manhattan,15730,12
KjZCI6R7eT8GTM8Op_UxlA,193,40.734601,-73.99086,manhattan,34370,13
JRquPKgarQERv-R66WtMQQ,118,40.734913,-73.990993,manhattan,913,14
QStORAJhSx2ybJXOJhiEjA,236,40.735015,-73.990428,manhattan,26267,15
LaiSEQqSd0Xhaww5PpaqQQ,119,40.734702,-73.990523,manhattan,6588,16
QaHErPmQVsLmOevNBPPr_A,190,40.734514,-73.990881,manhattan,45800,17
EHEmO2A2BxGx2hc0Dbrohw,118,40.734961,-73.991109,manhattan,17474,18
D3chm3INktEdQmqvI0drfg,234,40.735041,-73.990378,manhattan,11860,19
jC2O0paGnKhSQqthG4V8yQ,119,40.734658,-73.990424,manhattan,52236,20
eck5N6McDIhchNb6ygazeQ,185,40.734385,-73.990903,manhattan,40962,21
tWwgg5bwEee8YEY2EJS8xQ,118,40.734984,-73.991166,manhattan,2458,22
F8nRlLiAitQAE6t-VrA77w,230,40.735097,-73.990284,manhattan,39789,23
rzRqii31MfKSO7FSZmdDtg,119,40.734615,-73.990328,manhattan,33041,24
lFK5gUkXeN4-GZnMkJ7AfA,189,40.734267,-73.99092,manhattan,16076,25
s2UWSHfiJ4IVRG7tOfz5uQ,117,40.735008,-73.991226,manhattan,41518,26
h-DWeV8yIHMo2kkayOUx9A,222,40.735167,-73.990188,manhattan,10361,27
jfudd0Otk7oZdUsNJ-Ow-g,119,40.734571,-73.990227,manhattan,29856,28
gffHR39E5xttIH4Di03uAQ,189,40.734175,-73.990938,manhattan,15882,29
bA2sm3UW8utJH0Kx4cXoOQ,116,40.735053,-73.991343,manhattan,4494,30
efPx1iuXNILUehQALROO6w,219,40.735207,-73.990143,manhattan,4654,31
Md8t_6V51HcJn1WDetod4g,119,40.734522,-73.990114,manhattan,37279,32
NIiUtglAlrubuRVuoKzhlQ,188,40.734086,-73.990954,manhattan,37305,33
wccRVD42GqYq-xBOBcRt2w,115,40.735088,-73.991436,manhattan,16614,34
AAL3ggDMhYgEu2FKwTvtgA,212,40.735322,-73.990036,manhattan,42359,35
7BZquAesoAoqr1atjVxdtg,119,40.734494,-73.990049,manhattan,11589,36
BzNnejyVH8tPSXZrIkvwLQ,191,40.733992,-73.990973,manhattan,39645,37
06Fkf6pBqUIFd8pQjxiWIg,115,40.735107,-73.991489,manhattan,33454,38
QtItoIvl0y0Lk77N16OrJA,211,40.735357,-73.990009,manhattan,54176,39
Fe9TBadrB6cLBQlAo-GqDw,118,40.734444,-73.989931,manhattan,53642,40
Vrv0eBL0ZpUXwHxeo4p5-g,302,40.734024,-73.99101,manhattan,12641,41
TV56iHiwdKQ8ZYZG18Ozvg,302,40.733995,-73.990947,manhattan,26408,42
GD-M-RMmFCe44OOuCfrB7g,192,40.733944,-73.990985,manhattan,48178,43
TzfHqv7ZSf1iz88Ar9dmxw,65,40.73515,-73.991665,manhattan,23672,44
FjiTRCuH95Iv6SJVpE6Gyg,273,40.735348,-73.989983,manhattan,50906,45
oeZrWA18MPzqILDrs-trFg,211,40.73543,-73.989952,manhattan,55275,46
hOu7XlwZ00ozwK4t5NLP4g,358,40.734441,-73.989908,manhattan,15908,47
V1mTCCguMcH9ngSuHiVIeA,301,40.734077,-73.991123,manhattan,46002,48
EEc4g-VgbRW8YZ0h_JKC7A,299,40.733943,-73.990836,manhattan,48091,49
5S1pdyzPHRrL37i-FGJzxA,192,40.733854,-73.991009,manhattan,14257,50
MkXjoYKWOmyEY8Jel1qXcw,119,40.735194,-73.991699,manhattan,28837,51
vDJseCcWMoghMWl9b-LBbg,296,40.735332,-73.989882,manhattan,5391,52
jFMBXxj9KZlfPLu3on-cSg,211,40.735509,-73.989891,manhattan,18913,53
QG5mifrZEhK7chJLqXSqLA,357,40.734497,-73.98991,manhattan,26259,54
EhwKnfIoH6-gSmyBw43ciQ,118,40.734421,-73.989874,manhattan,42564,55
z-k3Xu3DHFcadsBGdTI2LA,357,40.73431,-73.989905,manhattan,50146,56
MOuYpYpZhfQsNZr3shjvCw,300,40.734124,-73.991228,manhattan,31598,57
AVnzKPGg0I48F50zl5RDHg,299,40.733895,-73.99072,manhattan,8942,58
mSMk_bTyFIhwBzkj2i6nBA,195,40.733768,-73.991037,manhattan,27262,59
zUL69cnZsoNVJzPdwjeRmQ,234,40.735298,-73.991698,manhattan,5561,60
7LElXCmEsm6YdPYBnVYa8Q,118,40.735231,-73.99178,manhattan,22711,61
q1U0Wp-omOwshsTdxYMnng,50,40.735136,-73.9917,manhattan,35764,62
M8x91K5iuDi6ZVRpVMQbiQ,22,40.735282,-73.989893,manhattan,3751,63
qkdDsUAXsR_bS0aCJwiLgA,24,40.735366,-73.989841,manhattan,13556,64
BBteFiqMj6Nchc0pnmx8jA,325,40.735334,-73.989811,manhattan,22881,65
FKyaA5iqzKGoqV0cjsiSRA,211,40.73559,-73.989828,manhattan,28567,66
1Gf1l_J5DSnCzTi56lBf8Q,355,40.734546,-73.989916,manhattan,19717,67
jpbV9m68LB3UYbpHAQ41lQ,118,40.734378,-73.989767,manhattan,52269,68
f4mU-xl3tHQEW9ZL8fQMbA,345,40.734229,-73.989891,manhattan,32445,69
l3U0QrsGWbh7ChBWzpt2dQ,300,40.73417,-73.991335,manhattan,27209,70
8HoKYx4ixvoRW_cVrh2ivQ,300,40.733854,-73.990622,manhattan,53337,71
gE3myysENZrt48wj4mlv0w,191,40.733685,-73.991057,manhattan,32502,72
kLShvq4sVDrmK2ZXvdPRCA,210,40.735326,-73.991659,manhattan,16035,73
rt4WvHQcIlsT3SrT_VBWjw,117,40.735268,-73.991868,manhattan,44304,74
U3dvD7kRSAWm6Bh-gDJgcg,37,40.735086,-73.991764,manhattan,51527,75
oPZ6cfeHCxJTxvM8S6oRng,4,40.735101,-73.989962,manhattan,35687,76
HtDVp_eWSO6gUAm9M0bpvw,24,40.735408,-73.989814,manhattan,840,77
Nd7qGg7ryDtaoDG_Sxna9A,294,40.735273,-73.989709,manhattan,34480,78
G4ZSCI_n4Fb3Ik1GoFj3bg,210,40.735672,-73.989765,manhattan,3503,79
Ip4a359eHKOR12m9iiX4Lw,354,40.734595,-73.989924,manhattan,53791,80
AXQMEgpIBKqp10Y7p0AgwQ,119,40.734338,-73.989672,manhattan,6078,81
nYc3A2gsvyn57Vvc7gOIgA,355,40.73412,-73.989865,manhattan,49654,82
_QrKfrM_w9lUf9WBOQQLfQ,299,40.734217,-73.991447,manhattan,23947,83
9V9RY_fAwPEuHv0pL-BJIg,301,40.733801,-73.990499,manhattan,8900,84
